City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,mount isa,-20.7333,139.5,85.77,66,100,12.66,AU,1742367327
262,fale old settlement,-9.3852,-171.2468,82.71,76,100,9.08,TK,1742367328
263,kerikeri,-35.2268,173.9474,61.3,81,87,6.31,NZ,1742367330
264,burang,30.25,81.1667,27.73,49,100,8.3,CN,1742367331
265,tlahualilo de zaragoza,26.1167,-103.45,67.24,12,8,10.98,MX,1742367332
266,petrinja,45.4375,16.29,36.81,46,0,1.25,HR,1742367333
267,urangan,-25.3,152.9,73.99,87,100,17.63,AU,1742367334
268,rongelap,11.1635,166.8941,80.2,83,99,23.13,MH,1742367335
269,nikolayevsk-on-amure,53.1406,140.73,21.33,83,100,1.41,RU,1742367337
270,mtwara,-10.2667,40.1833,82.36,74,19,9.17,TZ,1742367338
271,chandbali,20.7833,86.7667,98.31,33,2,10.94,IN,1742367339
272,dalai,45.5,124.3,50.61,25,13,10.18,CN,1742367340
273,jericho,31.8667,35.45,67.66,51,0,6.04,PS,1742367341
274,callao,-12.0667,-77.15,71.73,83,20,8.05,PE,1742367342
275,smirnykh,49.75,142.8333,25.56,72,100,3.33,RU,1742367345
276,sitka,57.0531,-135.33,44.49,57,100,18.41,US,1742367346
277,kas,36.2018,29.6377,60.08,61,100,16.42,TR,1742367347
278,nova vicosa,-17.8919,-39.3719,73.83,85,86,5.77,BR,1742367348
279,kristiansund,63.1115,7.732,43.45,87,75,20.71,NO,1742367349
280,dalby,-27.1833,151.2667,74.37,56,100,17.49,AU,1742367350
281,greymouth,-42.4667,171.2,58.42,73,0,5.57,NZ,1742367352
282,tralee,52.2704,-9.7026,41.25,100,100,6.91,IE,1742367353
283,qashar,53.3906,62.9297,47.05,81,100,11.32,KZ,1742367355
284,anloga,5.7947,0.8973,82.31,81,54,12.64,GH,1742367356
285,coquimbo,-29.9533,-71.3436,57.97,96,0,2.06,CL,1742367357
286,baharly,38.4362,57.4316,86.56,9,28,1.45,TM,1742367359
287,stepnoye,51.4,46.8667,35.87,73,100,8.77,RU,1742367360
288,casper,42.8666,-106.3131,27.72,90,100,11.5,US,1742367361
289,imbituba,-28.24,-48.6703,65.23,93,30,7.96,BR,1742367362
290,flin flon,54.7682,-101.865,-3.84,100,100,4.25,CA,1742367363
291,kismayo,-0.3582,42.5454,85.77,67,3,8.28,SO,1742367364
292,torghay,49.6339,63.4981,46.31,87,100,14.32,KZ,1742367366
293,fortuna,40.5982,-124.1573,42.35,94,0,6.91,US,1742367367
294,timbuktu,16.7735,-3.0074,77.92,14,6,6.58,ML,1742367368
295,kralendijk,12.15,-68.2667,78.78,83,20,5.75,BQ,1742367369
296,saint-francois,46.4154,3.9054,44.65,80,0,6.62,FR,1742367370
297,bad staffelstein,50.102,11.0013,35.71,57,0,1.01,DE,1742367371
298,tamanrasset,22.785,5.5228,71.51,20,40,0.0,DZ,1742367372
299,arteche,12.2645,125.4048,78.87,89,100,16.26,PH,1742367374
300,zhezqazghan,47.7833,67.7667,36.18,87,0,11.18,KZ,1742367375
301,phalodi,27.1333,72.3667,92.53,9,0,9.71,IN,1742367376
302,jutai,-5.1833,-68.9,70.88,95,97,0.74,BR,1742367377
303,puerto baquerizo moreno,-0.9,-89.6,79.86,80,16,12.35,EC,1742367378
304,jinxiang,27.4327,120.6062,53.44,67,32,8.37,CN,1742367379
305,dhemaji,27.4833,94.5833,89.04,18,0,8.99,IN,1742367380
306,pali,25.7667,73.3333,92.8,12,0,9.51,IN,1742367382
307,kaintragarh,20.7167,84.5333,106.88,13,0,2.1,IN,1742367383
308,retiro,-34.5833,-58.3833,73.22,83,0,8.01,AR,1742367384
309,puerto cabezas,14.0351,-83.3888,73.4,91,32,6.58,NI,1742367385
310,crane,31.3974,-102.3501,59.77,12,29,24.94,US,1742367386
311,keren,15.7778,38.4581,84.54,17,88,3.49,ER,1742367388
312,olonkinbyen,70.9221,-8.7187,15.76,54,100,3.0,SJ,1742367389
313,yarrawonga,-36.0167,146.0,91.45,21,81,12.3,AU,1742367390
314,hithadhoo,-0.6,73.0833,82.58,71,100,2.82,MV,1742367391
315,el calafate,-50.3408,-72.2768,50.61,87,87,17.65,AR,1742367392
316,mokhsogollokh,61.4681,128.9203,19.71,82,100,5.5,RU,1742367394
317,vila franca do campo,37.7167,-25.4333,52.21,74,100,21.77,PT,1742367395
318,ambatofinandrahana,-20.55,46.8,61.65,80,99,10.22,MG,1742367396
319,north bend,43.4065,-124.2243,43.16,90,100,5.17,US,1742367397
320,bela,25.9333,81.9833,94.46,8,0,10.07,IN,1742367398
321,lianzhou,24.7811,112.3825,71.15,28,7,4.92,CN,1742367399
